METRIAL CATEGORY, COMPANY ,MODEL ,SERIAL NUMBER ,Location,,,,,,,,,,,,,,,,,,,,,
CAMERA ,SONY,A7S3,5777780,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
CAMERA ,SONY,A7S3,5778140,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
CAMERA ,SONY,A7S3,5771071,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
CAMERA ,SONY,Z280,4001121,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
CAMERA ,SONY,Z280,4001394,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
LENS ,SONY G MASTER ,24 - 70,2061797,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
LENS ,SONY G MASTER ,24 - 70,2040997,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
LENS ,SONY G MASTER ,50,1830201,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
LENS ,SONY G MASTER ,70 - 300,1883582,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
LENS ,SONY G MASTER ,85,3084872,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
LENS ,SONY G MASTER,16 - 35,1969146,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
TRIPOD ,SACHTLER,ACE,S2150M17049920,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
TRIPOD ,SACHTLER ,ACE,S2150M2109178,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
TRIPOD ,SACHTLER ,FSB 10,S2045 K16 0140,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
TRIPOD ,SACHTLER ,FSB 10,S2045 K18 1011,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
TRIPOD ,SACHTLER ,FSB 10,S2045 K18 1014,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
TRIPOD ,SACHTLER ,FSB 10,S2045 K16 0137,Suryakund Office,,,,,,,,,,,,,,,,,,,,,
TRIPOD ,VANGUARD ,ALTA PRO 2+,263AP,Suryakund Office
